Date,Type,Link
2024-02-12 11:54:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7162769415275491328
2024-02-10 08:32:09,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7161984641946542080
2024-02-09 05:59:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7161259890982686721?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7161259890982686721%2C7161286555154665472%29
2024-02-08 20:25:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7160200672062124032
2024-02-07 00:57:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7160650805656600576
2024-02-06 08:40:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7160535096247164930
2024-02-06 08:40:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7160535096247164930?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7160535096247164930%2C7160540998551367680%29
2024-02-06 06:16:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7158159516386144256?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7158159516386144256%2C7158291462793687042%29
2024-02-06 06:16:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7158159516386144256?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7158159516386144256%2C7158353808522194945%29
2024-02-06 06:16:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7158159516386144256?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7158159516386144256%2C7160516134016815104%29
2024-02-06 05:31:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7160481930470117376?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7160481930470117376%2C7160501896724570112%29
2024-02-05 05:07:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6773411-7159789405266739200
2024-02-01 10:24:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7158760897694363648
2024-02-01 04:49:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7158474222078509057
